gauge, area
07091200, 2746.85
07094500, 6367.18
07128500, 8900.46
07126485, 7136.04
07126480, 135.03
07126415, 135.02
07124410, 1745.59
07124200, 1304.72
07126325, 117.01
07126300, 4958.05
07126200, 405.02
07126390, 153.02
07096250, 693.47
07099050, 315.21
07099215, 36.02
07099060, 342.23
07099230, 171.11
382629104493000, 189.12
07099238, 189.12
07099970, 12292.72
07108900, 1224.57
07109500, 16210.08
07121500, 1359.40
07119500, 2907.65
07134100, 8474.61
07344493, 713.28
07344500, 945.14
07346045, 944.93
07346000, 2317.59
07346080, 17.81
01042500, 4074.95
01044550, 488.73
01043500, 1334.01
07346070, 1816.77
07346050, 1033.33
02217615, 268.49
02217643, 0.00
02217274, 17.89
02217297, 286.24
02218565, 8.94
02217475, 849.83
02217770, 733.63
02217500, 1019.73
02219000, 473.82
02218300, 2441.66
02220788, 71.46
02220900, 678.57
02221525, 481.95
08032500, 5044.72
08033000, 7073.01
03207965, 18.00
03207800, 791.91
03209000, 584.85
03208500, 755.80
03208950, 170.95
05287890, 222.40
05288705, 115.67
05288500, 50031.70
05331580, 95966.27
05289800, 436.22
08033500, 9417.18
08040600, 19568.42
08041000, 20389.56
08041780, 25504.75
07343840, 2069.69
07343500, 1543.26
07344100, 223.21
07344210, 8880.78
07343450, 5151.19
07343356, 500.19
07343200, 3615.35
08041700, 1004.13
08033900, 408.31
08036500, 3295.06
08034500, 968.71
08037000, 4146.28
08038000, 1312.91
08037050, 70.95
08039100, 248.15
08041500, 2224.85
10172952, 17.96
10224000, 16722.13
10219000, 13300.06
10234500, 234.14
09041090, 387.02
09041400, 693.07
09034250, 2052.40
09058000, 6121.76
09038500, 567.22
09037500, 450.18
09033300, 585.20
09010500, 171.00
09015000, 477.02
09019500, 846.09
09014050, 198.02
09070500, 11299.09
09036000, 234.10
09059500, 216.10
09035700, 99.04
09035900, 63.03
09058500, 36.02
09033100, 153.05
09027100, 306.12
09035500, 27.01
09032100, 0.00
09032000, 45.02
09025000, 81.03
09026500, 81.03
09025300, 9.00
09024000, 72.03
09022000, 18.01
09034900, 18.01
08057200, 196.10
08056500, 44.54
08057410, 16168.93
08057300, 267.38
08062500, 20972.94
08062700, 22004.43
0804956950, 222.77
08049300, 7650.39
08048000, 6724.28
08048543, 6929.13
08045550, 5388.50
08045850, 338.59
08047050, 151.39
08045995, 614.69
08048970, 231.38
08049700, 204.69
08048800, 151.48
08047500, 1335.79
08047000, 1086.44
08045400, 5326.15
08049500, 7864.17
08050100, 801.05
08049580, 62.28
08050400, 473.46
08050800, 98.26
08050840, 71.45
08051135, 1759.33
08051500, 750.02
08052780, 312.25
08052700, 187.44
08053009, 44.58
08052745, 98.14
08053000, 4266.90
08055500, 6309.75
08055560, 6532.54
08053430, 723.15
08053500, 1053.23
08055000, 1837.81
08059400, 223.17
08058900, 428.43
08059350, 258.79
08059000, 517.65
08059590, 133.82
08061540, 347.72
08062000, 3273.13
08061750, 2934.68
08062800, 507.47
08062895, 614.47
08042800, 1758.31
08044000, 874.85
08044500, 4452.78
08044800, 133.70
09050700, 819.46
09050100, 243.14
09046600, 252.15
09057500, 1494.76
09051050, 63.03
09047700, 27.01
09047500, 162.09
09046490, 108.06
394220106431500, 1512.81
09066300, 9.00
09066325, 189.10
09067020, 1017.57
09067200, 126.07
09066510, 252.13
09067000, 36.02
09064600, 486.29
09063000, 171.10
09070000, 2431.30
09066200, 18.01
09065500, 36.02
09066000, 27.01
09065100, 90.05
09064000, 99.06
09063900, 9.01
09061600, 36.02
09085000, 3773.40
09081000, 2260.46
09081600, 423.28
09080400, 630.39
09079450, 90.05
09078475, 27.02
09074000, 99.07
09073400, 306.21
09075400, 180.12
09073300, 216.15
09073005, 45.03
09074500, 99.07
09072550, 27.02
09111250, 54.04
09107000, 324.22
385106106571000, 189.13
09112200, 612.42
09112500, 747.51
09109000, 648.44
09110000, 1242.85
09132500, 1368.93
09132095, 585.40
09134100, 1927.31
09136100, 2539.73
09304800, 2718.83
09304200, 1683.56
09304500, 1971.64
09246200, 467.85
09246500, 611.82
09244490, 4085.66
09242500, 1151.59
09247600, 5534.24
09240020, 1557.13
09239500, 1476.15
09237450, 540.11
09238900, 62.99
09237500, 594.11
09261000, 65776.91
09272400, 69052.61
09379500, 59248.48
09261700, 188.94
09265500, 251.91
09266500, 260.91
09378630, 0.00
09371010, 37085.14
09379200, 9420.24
07116500, 4834.35
08075780, 17.60
08075900, 79.19
08076180, 96.78
08074020, 105.55
08076500, 114.34
08075763, 8.79
08074540, 61.55
08072600, 351.60
08073500, 729.72
08073600, 747.30
08073700, 773.66
08074760, 43.94
08074810, 193.28
08075500, 166.88
08075400, 61.47
08076000, 140.77
08072760, 79.16
08074150, 35.17
08072730, 70.35
08074250, 35.17
08072680, 79.14
08075770, 43.96
08073100, 325.38
08074500, 228.64
08074000, 879.14
08072300, 193.40
08075000, 333.86
08075730, 8.79
08074800, 70.28
08072050, 7465.46
08063590, 186.83
08064100, 2098.25
08063800, 480.29
08063562, 995.83
08065000, 33244.91
08065200, 372.44
08064700, 363.78
08067548, 220.77
08067650, 1182.50
08067920, 846.57
08068090, 2584.20
08068000, 2178.90
08069500, 4565.12
08065350, 35877.18
08066200, 379.96
08066250, 43481.49
08065800, 866.32
08066175, 167.99
08066000, 40237.17
08066300, 379.55
08068400, 70.47
08068500, 1039.27
08068450, 105.70
08068275, 484.39
08068780, 114.42
08068390, 52.86
08068325, 158.47
08069000, 739.20
08068900, 651.18
08068800, 545.57
08068740, 334.36
08068720, 263.97
08066500, 44311.00
08067000, 45130.51
08067100, 45394.53
08070000, 873.71
08070200, 1041.12
08071280, 528.79
08071000, 299.78
08070500, 308.65
08042558, 79.09
07103780, 225.15
07103797, 27.02
07103990, 45.03
07103970, 486.33
07104000, 540.37
07100300, 99.07
07100750, 9.01
07103100, 9.01
07103702, 18.01
07103700, 261.18
07104905, 612.42
07105000, 18.01
07105500, 999.68
07105490, 72.05
07105600, 171.12
07105530, 1080.74
07105800, 1323.91
07105945, 18.01
07105900, 180.12
07106000, 1756.20
07103800, 45.03
07103980, 18.01
384037104472001, 36.02
07105940, 72.05
07106300, 2224.51
07106500, 2413.63
07249920, 278.33
07249985, 1113.36
07249800, 637.54
07249455, 381821.56
07250085, 1158.23
08067500, 255.25
08067525, 35.17
08076997, 79.02
08077600, 298.51
08078000, 228.11
08212400, 1240.25
07124000, 36901.50
07133000, 50105.83
07130500, 47269.36
07134180, 59606.83
08117500, 1878.95
08117705, 2317.21
08167800, 3792.62
08168000, 0.00
08168932, 307.53
08169000, 360.25
08169500, 4381.45
08168797, 307.53
08168500, 4012.41
08169740, 4601.00
08169792, 4952.22
08173900, 9058.09
08174600, 1212.43
08174700, 10621.46
08175000, 1437.91
08170800, 140.87
08170890, 158.41
08170950, 730.63
08171290, 994.64
08171000, 915.44
08171300, 1056.25
08172400, 307.99
08170500, 114.36
08171350, 1135.42
08171400, 1399.29
08172000, 2190.28
08173000, 809.21
08211520, 234.59
08175800, 12909.24
08176550, 420.09
08176900, 909.99
08177500, 1303.33
08177300, 78.67
08176500, 13600.58
08188800, 26228.76
08177520, 15166.09
08188810, 26254.94
08211800, 817.02
08211900, 1286.49
11458433, 36.02
11458000, 576.37
11459500, 54.03
11456000, 207.14
11460000, 45.02
11390000, 414.13
01027200, 567.01
01029200, 424.90
01029500, 2789.98
01034000, 3084.18
01031300, 328.86
01031500, 800.26
01031450, 257.94
01031510, 88.96
01034500, 17281.46
01037000, 382.74
01413088, 62.81
01413398, 125.66
01413500, 448.77
01415000, 98.73
01414500, 80.80
01413408, 233.39
01414000, 89.75
01417000, 996.33
01417500, 1211.80
01420500, 628.59
01421000, 2055.88
04015330, 211.59
04015438, 263.80
04021520, 203.09
04024000, 8913.21
04026390, 53.03
040263205, 70.68
040263491, 203.29
04025500, 389.03
04024430, 1113.99
04027500, 654.57
04026561, 185.80
04026450, 212.45
04027000, 1548.29
03291500, 1134.74
03288100, 351.19
03289300, 270.13
03287600, 63.03
03287590, 9.00
03289193, 27.01
03291000, 126.08
03289500, 1188.63
03289200, 108.05
03288180, 72.04
03289000, 63.03
03290500, 15986.57
03290080, 15473.25
03287500, 13762.33
03287250, 13555.23
03284525, 0.00
03284533, 63.03
03286200, 1179.19
03284580, 279.11
03284552, 54.02
03285000, 846.10
03284000, 10242.31
03287000, 13240.09
03284230, 10611.46
03286500, 13069.03
03284500, 11412.66
03613000, 89.97
03612000, 621.05
03611260, 26.99
03611500, 526315.16
03612600, 527575.14
05331833, 318.71
03610200, 368.66
03610000, 224.78
05344500, 115634.71
05345000, 329.74
11336680, 5340.37
11336685, 5025.19
11313452, 46944.59
11337190, 108607.05
11313460, 46944.59
11313433, 38479.63
11313431, 38407.60
11312685, 40748.79
11313434, 41586.07
11336790, 5484.45
11313240, 0.00
11304810, 38794.81
11312968, 37867.40
11303500, 37219.21
11313440, 47934.94
03238495, 522.35
03237500, 1026.70
03237280, 36.02
03238772, 0.00
03238745, 99.07
03216500, 1053.56
02223000, 7611.15
02223110, 757.91
02223248, 9955.58
02223500, 11398.23
02223190, 418.87
02223360, 472.10
02223056, 8208.51
02224500, 13230.99
02325000, 316.99
02326000, 493.51
02324400, 167.34
02324000, 782.90
02314500, 2917.56
02315000, 5010.71
02315920, 1118.19
02316000, 1685.51
02317500, 3455.96
02317620, 4304.11
05355200, 3560.76
05355092, 3070.28
05355024, 2463.85
05354500, 2169.51
05353800, 1205.71
02330450, 125.45
023312495, 232.95
02331000, 412.13
02333500, 385.18
02331600, 833.16
02335580, 98.42
02334480, 17.89
02334578, 17.89
02334620, 17.89
02335700, 178.93
02334885, 125.22
02335757, 268.37
02335790, 44.72
02334430, 2668.60
02334653, 2802.79
023358685, 35.77
02335870, 89.42
02336030, 8.94
02336340, 62.58
02336360, 80.46
02336410, 116.21
02336120, 107.27
02336300, 232.39
02336240, 80.44
02336313, 8.94
02335350, 26.82
02335910, 62.58
02336152, 35.75
02335000, 3008.50
02335450, 3133.69
02335815, 3518.32
02336000, 3732.89
03253000, 2350.35
03252300, 396.21
023177483, 1274.64
02318700, 689.79
02318500, 3877.45
02319000, 5547.57
02330400, 387.52
03406500, 1538.94
03254693, 9.01
03254550, 63.04
03254520, 9311.07
03253500, 8545.54
03251200, 558.37
03254480, 45.03
03251500, 6051.10
03250190, 216.09
03250500, 4655.19
03250322, 9.01
03250100, 234.14
03248300, 279.06
05378500, 154109.30
02359000, 2165.32
02358789, 1326.44
02317797, 328.07
02318000, 1506.20
02318380, 2019.42
02321000, 475.36
02322688, 0.00
02322700, 457.79
02321898, 2076.49
02321958, 2419.42
02320700, 246.17
02321500, 1477.95
02322800, 3396.03
05458900, 2186.89
02377570, 485.73
02376293, 88.44
02376500, 1034.17
02359500, 352.88
02361000, 1808.60
02362240, 44.28
02361500, 3331.60
02363000, 1269.29
02364500, 3050.67
02320250, 0.00
02319500, 17110.98
02319800, 17331.28
02320000, 17692.35
02320500, 18537.54
02323000, 23202.00
02323592, 24431.36
02365470, 371.33
02366000, 1024.70
02365769, 229.54
02365200, 8231.24
02365500, 9053.32
02366650, 308.78
02366500, 11340.69
06818000, 1049196.48
05333500, 3737.31
06882000, 11579.05
06885500, 1053.46
06882510, 12470.32
06886500, 441.25
06887000, 27025.35
02326500, 1915.11
02326526, 70.52
02358000, 44431.94
02358700, 45411.73
02359170, 49780.07
023432415, 19316.14
02343940, 177.07
02372250, 1153.84
06921720, 1071.73
06921590, 918.61
06921600, 1765.15
05286000, 3653.08
02371500, 1313.67
02372430, 3362.68
02372422, 3344.97
05327000, 623.84
05330000, 41886.40
05330920, 43757.55
02373000, 1215.14
02374745, 460.52
02374700, 1133.91
02374250, 6961.11
05319500, 2215.39
09430600, 196.26
09430500, 4792.35
05372995, 777.18
05382257, 8.93
05382267, 133.96
05382255, 0.00
05382325, 428.78
05382284, 107.21
05383075, 1206.19
05385500, 706.49
05385000, 3253.68
05383950, 1465.82
11374000, 1124.67
11370500, 15429.23
11372000, 611.77
11376550, 953.93
06817500, 3282.46
06817700, 3867.43
05514500, 2395.59
06821080, 162.08
06820500, 4598.53
06821150, 594.33
06821190, 6147.37
11469000, 621.10
11468900, 189.05
11509200, 116.71
11507500, 8885.43
11509500, 13428.70
08099100, 1218.31
08099300, 693.21
08099382, 390.85
08100000, 4974.75
08099500, 3297.36
08102500, 9227.58
08100500, 6154.06
08101000, 1169.88
01443280, 35.97
01445000, 71.95
01443500, 332.73
01455500, 71.95
01445500, 269.83
01443900, 26.98
01446000, 287.82
01446775, 80.96
01457000, 386.81
01446500, 11760.29
01463620, 117.01
01464000, 261.03
01463740, 9.00
01463500, 17571.73
01459500, 251.98
01460880, 44.99
01534300, 116.78
01534500, 278.52
01534860, 458.27
01536000, 871.77
01536500, 25786.98
01539000, 701.28
01538000, 116.90
01538700, 27288.65
01540500, 28988.26
01421618, 44.86
01421900, 358.89
01422500, 134.61
01421610, 35.88
01423000, 870.44
0142400103, 53.85
01426500, 1561.65
01425000, 1202.56
01428500, 5279.27
01427207, 4129.40
01427510, 4767.13
05336700, 2237.71
05338500, 2543.21
053416966, 62.29
05341752, 676.09
05340500, 15684.39
05341550, 18048.48
05342000, 373.92
05344490, 19712.69
11468500, 243.14
11468000, 747.50
01021480, 89.00
01022500, 837.05
01021470, 17.82
01022294, 0.00
01022840, 0.00
01037380, 35.69
11477000, 8111.96
11478500, 566.97
11475000, 5492.39
05270700, 35030.83
05275000, 1367.42
05379500, 1605.89
05379400, 1400.60
01428750, 116.78
01429500, 170.69
01429000, 152.72
01430000, 431.24
01432110, 1536.76
01431500, 754.75
05320000, 6293.14
11182500, 27.01
11180900, 27.01
11180825, 27.01
11181000, 90.03
11181008, 9.00
11180500, 36.01
11162753, 36.01
11180960, 27.01
11181040, 117.03
11180700, 45.01
11179100, 1665.25
11174600, 117.04
11176900, 1062.20
11179000, 1665.25
11174000, 99.02
11176400, 351.02
11173575, 396.01
11173510, 369.01
11176500, 387.03
11172955, 90.01
11172945, 81.01
11173200, 216.00
11303000, 2845.52
11289650, 4006.72
11290000, 4753.92
11274538, 485.97
11274630, 180.01
11274500, 350.97
11274550, 27621.47
11274000, 26919.49
11273400, 26910.49
11390500, 32082.34
06755960, 674.36
06719840, 27.01
06716500, 369.17
06716100, 144.06
06719505, 1035.48
06714500, 27.01
06714400, 27.01
06715000, 216.11
06718550, 144.06
06714800, 27.01
06730525, 2466.60
06724970, 180.04
06730500, 1215.38
06730160, 18.00
06730200, 801.25
06727500, 54.01
06751150, 926.40
06752260, 2977.75
06746110, 18.00
06752280, 3220.67
06746095, 9.00
06751490, 1403.17
05512500, 117.06
05501000, 918.38
05502000, 72.03
02327355, 672.75
02327500, 1468.79
06187915, 89.00
06191000, 525.35
06188000, 1736.19
06186500, 2614.50
06918250, 14686.92
06920520, 90.03
06914990, 27.02
06915000, 387.26
06914950, 90.06
06915800, 7024.56
06916600, 8429.36
06185500, 233731.92
06071300, 1014.67
06063000, 256.34
06062500, 88.42
06066500, 43529.93
06061500, 486.44
06065500, 42876.97
06054500, 37659.73
06041000, 5564.36
06040000, 4320.03
06038500, 2415.06
06038800, 2842.51
06037500, 1141.01
06037100, 338.57
06036940, 169.27
06036905, 686.56
06036805, 107.04
09442000, 10342.86
09439000, 9255.74
09431500, 7305.72
09432000, 8276.50
06183450, 2449.86
06185110, 7030.54
09251000, 8765.25
09260050, 20357.60
08111500, 99795.24
08111700, 994.50
08111850, 101784.16
08116400, 35.11
08114000, 105978.45
08115000, 105.34
08116650, 103654.70
08116850, 103900.06
07315700, 1503.36
07315500, 71738.46
07316500, 2002.23
07324200, 3528.55
08447020, 2056.21
08189200, 235.54
08210000, 40044.58
08210400, 409.03
08211000, 42841.87
08211200, 43120.36
08211500, 43320.34
09085100, 15495.71
09163500, 46168.70
09105000, 1567.03
09095500, 20547.52
09106150, 22564.84
09223000, 323.09
09224700, 7647.78
09220000, 143.92
09218500, 386.79
09217900, 341.82
08412500, 53768.09
08437710, 73214.66
08446500, 76119.50
08361000, 68573.00
09152500, 20523.91
09144250, 14571.18
09143000, 72.05
09143500, 99.07
09306255, 684.21
09306222, 1701.71
09306242, 63.02
09306200, 1323.58
01350355, 1139.51
01351500, 2314.05
01350180, 924.25
01350120, 44.85
01350101, 798.66
01350080, 98.69
01350000, 601.27
01349705, 278.23
01350140, 53.82
01350035, 53.83
01349700, 71.79
01349711, 62.83
01349950, 188.44
09129600, 432.29
09128000, 10248.23
09113980, 414.28
09114500, 2602.78
09127000, 576.33
09124500, 873.41
09126000, 171.09
09123450, 270.11
09372000, 908.99
09371520, 621.00
09371492, 98.99
09378170, 27.01
09337000, 171.08
09337500, 837.30
02336986, 26.82
02336968, 143.05
02336870, 80.46
02336910, 420.08
02336840, 268.13
02336635, 71.51
02336526, 44.68
02336517, 26.81
02336728, 98.29
02337040, 706.13
02337410, 169.74
02337000, 652.51
02337498, 107.17
02336490, 4117.25
02337170, 5341.62
02338660, 294.47
02338840, 222.99
02338000, 6243.70
02338523, 35.70
02338500, 6904.25
02339495, 204.97
02339500, 9125.03
01046000, 249.04
01046500, 7044.69
01048220, 44.49
01047000, 898.95
01047150, 8388.77
01048000, 1354.16
01047200, 35.62
01049500, 571.18
02084160, 116.68
02083500, 5751.10
03201902, 513.32
03201980, 243.16
03202000, 1458.95
03205470, 729.50
09182400, 135.09
09180500, 61917.95
09185600, 65664.24
09183600, 45.03
04096015, 215.56
04095300, 143.75
04094000, 170.73
04092677, 17.97
04093000, 332.54
04092750, 35.94
04095090, 889.69
04094400, 53.93
03259000, 297.19
03260015, 9.01
03260100, 9.01
03260050, 36.02
03262001, 72.05
03238140, 18.01
03277075, 108.07
03277130, 90.06
02353000, 15109.95
02355662, 18018.00
02356000, 19566.10
02341800, 907.68
02342850, 311.02
02341460, 11966.43
02342500, 854.08
02342881, 15293.11
02343225, 781.37
04108600, 188.27
04108660, 5185.34
04103500, 1104.00
04105700, 98.68
04104945, 161.46
04106400, 44.87
04105000, 744.57
04105500, 2207.52
04106000, 2799.66
03230700, 8253.75
03230800, 603.24
03231500, 9928.57
03234500, 13206.50
03237020, 15052.67
10217000, 12930.83
10194200, 441.29
10205030, 126.09
02357000, 1213.01
06875900, 13723.50
06876000, 14119.73
06876700, 1044.68
06876440, 15623.65
06876900, 17469.86
06759500, 37986.91
03407500, 431.97
03413200, 116.92
03414100, 15461.69
08166000, 308.27
08166140, 1232.44
08165300, 448.91
08166200, 1285.26
08165500, 739.29
08166250, 1461.32
08167500, 3484.78
08167000, 2209.16
05586100, 68978.90
05587900, 531.36
05588000, 135.09
07001910, 0.00
07001985, 45.03
07005000, 81.06
07010022, 45.03
07010040, 0.00
07010055, 27.02
07010061, 9.01
07010082, 27.02
07010070, 9.01
07010075, 45.03
07010086, 99.07
07010088, 108.07
07010090, 18.01
07010097, 144.10
07010180, 45.03
07010000, 1766412.24
07010208, 9.01
06888000, 594.33
06888300, 378.23
06888500, 864.59
06888350, 141689.93
06887500, 140159.01
06889200, 387.23
06889500, 792.49
06889630, 99.07
06888990, 143932.42
06889000, 143959.44
07039500, 3348.05
07047855, 26.94
06813000, 1232.56
06813500, 1037119.18
03061000, 1954.28
03058975, 909.61
03058000, 243.17
06819185, 224.90
06819500, 1286.53
06820410, 1673.56
06892513, 153.10
06892518, 152352.66
06891810, 477.28
06891850, 585.34
06892000, 1098.67
06891000, 148471.08
06892495, 171.12
06892360, 135.09
06892350, 151812.29
06891260, 432.30
06891500, 1107.76
06891080, 148696.23
07340300, 268.59
07341200, 679.92
07340000, 6962.71
07349860, 2612.19
08162000, 98782.15
08162500, 99448.02
03062500, 171.09
03061500, 297.16
03062235, 6565.24
03070500, 531.25
03065000, 873.60
03065400, 135.09
03066000, 207.14
03070260, 2692.79
03069500, 1855.26
03068800, 441.30
03067510, 180.12
03075070, 13804.81
03074500, 207.07
03072000, 594.28
03072655, 11536.13
03073000, 450.16
11519500, 1698.60
03083500, 4447.65
03082500, 3430.48
03078000, 162.08
03076500, 765.45
03075905, 36.02
03079000, 981.40
03080000, 306.10
03076600, 144.07
03076100, 666.39
03081500, 2737.26
03081000, 2665.23
03077500, 1143.63
03075500, 378.23
03109500, 1268.40
03110000, 368.95
03107698, 18.00
03108000, 503.95
03086000, 50511.63
03110830, 107.99
03085500, 648.05
08183200, 5003.54
08183500, 5380.05
08186500, 604.40
08188060, 9123.11
08187500, 174.87
08188500, 9997.08
08188570, 10626.10
06052500, 4698.69
06048650, 621.30
06050000, 115.48
06043500, 2161.04
03271000, 207.08
03271300, 54.03
03272700, 171.08
03272000, 729.31
03270500, 6526.08
03271601, 7075.33
03272100, 8137.82
03271620, 7102.35
03274000, 9416.50
09312600, 189.06
09310700, 81.04
09310500, 153.07
09314280, 522.31
09314500, 4520.38
11517500, 1949.84
11517000, 1617.46
03274650, 18.01
03275600, 531.21
03275000, 1323.52
03276500, 3160.46
03241500, 189.09
03240000, 360.15
03247500, 1224.81
03246500, 594.39
03244936, 144.09
03206600, 117.05
03260706, 117.00
03267000, 450.05
03266560, 90.00
03261500, 1403.96
03264000, 531.13
03265000, 1323.26
03262000, 693.02
03262700, 2403.04
03261950, 396.00
03267900, 819.14
03269500, 1296.29
03263000, 2979.20
03270000, 1656.42
03262500, 2259.01
03310000, 108.02
03310300, 900.17
03305000, 63.00
03308500, 4436.41
03310400, 180.00
03307000, 476.86
06884000, 9.00
06884200, 882.34
06884025, 7146.37
06884400, 10674.08
03314500, 4254.14
03312259, 26.97
03314000, 1115.14
03313700, 287.75
05317000, 3346.81
06195600, 2189.13
05290000, 1189.19
05292000, 3055.31
05291000, 1048.89
05293000, 1201.10
05294000, 2235.56
05300000, 2458.23
05301000, 10604.46
05311000, 15970.53
05313500, 1702.67
05311150, 16308.90
08063048, 159.88
08063100, 861.38
05316500, 1605.66
05315000, 660.37
05316580, 23099.72
05317200, 455.31
05325000, 38489.25
01434017, 71.84
01434498, 71.83
01436000, 224.50
01432900, 188.64
01436690, 395.19
01434025, 0.00
01435000, 170.61
01433500, 512.11
01439590, 26.97
01437500, 754.64
01440000, 161.84
01434000, 8011.22
01438500, 9026.54
01440485, 26.98
01440400, 179.82
01439500, 287.71
01441495, 98.92
01442500, 683.44
06012500, 1443.76
06006000, 89.14
01447500, 251.75
01447720, 305.73
01447680, 62.95
01447800, 773.28
01449800, 242.85
01451800, 134.96
01451650, 251.96
01449360, 125.92
01450500, 197.90
01452000, 188.95
01451500, 215.97
01452500, 125.96
01449000, 1555.76
01451000, 2311.37
01454700, 3517.03
01453000, 3184.12
01534000, 1015.21
01531250, 26.94
01531325, 224.55
01531908, 305.47
01532000, 566.02
01531500, 20153.28
01533400, 22605.75
06023100, 7092.60
06018500, 9206.16
06017000, 7355.59
06016000, 6919.92
06024450, 1501.90
06024580, 4092.36
06024540, 3250.19
06025250, 5654.08
06026420, 7208.00
06025500, 6399.71
06023800, 293.41
06023500, 97.82
06024020, 977.74
06026210, 6852.78
05280000, 6815.49
06211500, 124.46
06209500, 266.95
06211000, 382.24
06207500, 3321.69
06208500, 5269.55
01014000, 14841.98
01011500, 1363.05
01010500, 7081.27
01010070, 529.33
01010000, 3537.12
11376000, 2403.12
07342465, 383.71
07343000, 812.57
07342500, 1347.48
07342480, 124.93
06027600, 19739.04
06026500, 19392.92
06035000, 239.68
06036650, 24463.03
06033000, 1000.23
06214500, 29539.79
03056250, 270.16
03051000, 1080.73
03053500, 729.50
03052000, 387.27
